savjetodavno tijelo	advisory body
omotnica	envelope
degradacijski uvjeti	degradative conditions
kroz povijest	during the course of history
viSezadaGni	qnx
hodanje u snu	somnambulism
preplanuo suncem	tanned
zatvoreni sustavi proizvodnje	indoor system of production
suradnja izmeDu stranaka	cooperation between the parties
preklopiti	turn down
naCisto	clearly
pCele	bees
zdjeliCna	edge bone
maSinerija	machinery
pCela	bee
cjedilo	strainer
skupljanje	shrinking
tlakomjer	pressure gauge
sa prevelikom vrijednoSGu	overflowed
okretni moment	torque
kovaCki bat	about-sledge
Stamparstvo	printing
cacm	cacm
dvojni obuhvat	pincer movement
hod stroja	action
boCno svjetlo	side light
podlokan vodom	water-worn
instalacija	setup
ono Sto je nastrugano	scraping
profesura	professorship
uklet	damned
satelitski pokretni radio	satellite mobile radio
CetrnGst dana	fortnight
nagib	wold
policajci	policemen
eksponentexponential key exchange	exponent
zaStita podiSta tornja	derrick shead
vremenska struktura kamatnih stopa	term structure of interest rates
iz druge ruke	second-hand
unutarpojasno signaliziranje	inband signaling
stakleni Stap iz kojeg se izvlaCi optiCko vlakno	preform
mreZa besplatnih usluga	free net (freenet)
mladi losos dvogodac	smolt
analgetik	pain-reliever
tankog crijeva	small intestine
pretresajuGi	discursively
regionalna stabilnost	regional stability
poplun od krpica	patchwork quilt
uzrokom	caused
senzorske	sensory
primitivni varijeteti	landraces
afrikanka	african
eaggf	eaggf
optimalno doziranje	optimal mix design
rjeSavanje sporova	settlement of disputes
mjesto za logorovanje	camping site
meso od divljaCi	venison
oceanski valovi	ocean surf
pridodati	subjoin
posluZivanje ko primatelj a (mhs)	corecipient handling
sigurnosne cipele sa metalnom zaStitom prstiju	safety shoes
registracija djelatnosti na poCetku poslovanja	start-up business registration
pneumatsko priguSenje	pneumatic damping
feritni izolator	ferrite isolator
vrsta broja	type of number
svako postupanje suprotno	any practices contrary to
predradnja	preliminary work
etniCke grupe	ethnic groups
vruG	sweaty
genetiCki modificiran	genetically modified
oderati	strip
laka strojnica	light machine gun
idemo!	off we go!
korisniCka alatna traka	custom toolbar
traktoru	tractor
b-simptomi	b-symptoms
CekiG jednom rukom	one-hand bump
neusklaDenosti	discrepancies
kazniti novCano	fine
Cetkica	brush stand
Sto se babi htilo, to joj se i snilo	wish is father to the thought
povlaCenjem	dragging
natrijevo vapno	soda lime
parcijalna izbijanja	partial discarges
pregraDivanje	rearrangements
optuZiti	indict
bijeljeti	bleach
opSirno razlaganje	peroration
prZiti se	fry
plovilo	vessel
sjedalo u crkvi	pew
erozija	erosion
preljubnik	adulterer
plovili	sailed
zaklati	stab
aplikacija posluZitelj	server application
raSClamba kritiCnog puta	credit card call
organizirani pristup trZiStu	organized market approach
a sad	well
ruCica opreznosti	acknowledger
plovila	vessels
heuristike	heuristics
projekcija unazad	big back
pravni poloZaj	status
namjena radiofrekvencijskog podruCja	frequency allocation
sukladnih	in accordance with
druStvena osjetljivost	social responsiveness
panj	trunk
kut zaokreta	banking
pano	pinboard
opijati	opiates
sjediniti s zrakom	Grify
indonezija	indonesia
pogledi	views
generator slike	image generator
strSen	hornet
oblikovanje dokumenta	document design
sakriti se	hide
klinovit	tapering
ciganstvo	gipsyhood
vojni zrakoplov	military aircraft
veliki broj	regiment
codec s ugraDenim filtrom	combo
klizanje	sloughing
uZasavanje	recoil
nelinearne vibracije	nonlinear vibrations
formalni pojam	formal aspect
diodni laser	diode laser
digitalna telefonska linija kojom se moZe prenosit	t1 link
vodeniCar	miller
goveDi carpaccio	beef carpaccio
konektori	plates
premjestiti se	to
turistiCki djelatnik	tourist profession
kapitalna vrijednost	capital value
kanal za prijenos zvuka	sound channel
reosigurateljna provizija	reinsurance commission
spolna uzbuDenost	ants in one's pants
monaSki	monastically
simbolima	symbols
problemi delaminacije	delamination problems
upijajuGi	absorbing
veoma tanki	ultrathin
usrednjavanje	rate averaging
smoCnicom	larder
prepoznat	recognized
uprava za izvrSenje sankcija	department for implementation of sanctions
razmak izmeDu izvoda	lead pitch
autobus na kat	double-decker
vektor analiza	vectorlyser
kroskoZna	transdermal
radna stanica	workstation
kontrola ribolova	fishing controls
ulaZe sve napore	strives
politiCki/politiCka izbjeglica	political refugee
indolentan	indolent
neovisnih	independent
voziti taksi	taxi
kajak	kayak
jednostruko djelovanje	single-acting
svrstavaju	classifies
pokaz prezentacije	slide show
tehniCko okruZenje	technological environment
usporedno raCunanje	parallel computing
u nizu	sequentially
razmjeStaj (poljoprivredne) proizvodnje	location of production
limfociti b	b-lymphocytes
grCiti	screw
bimini top	bimini top
kauzalni	causal
limfociti t	t-lymphocytes
bogatije	richer
tradicionalne djeCje igre	traditional children's games
osijediti	gray
za zapreCavanje nepravilnosti	antifalse
nesporno	indisputably
navoditi	say
odvjetniCki ured	law office
unnilseptij	unnilseptium
zabitno	secludedly
obaviti preradu ili obradu	to carry out working or processing
mreZa tipa sabirnice	bus network
velika zapremina	bulk
hepatokarcinom	hepatocarcinoma
pojedinim	certain
pojedinih	certain
beZiCni mikrofon	cordless microphone
podloZni beton	concrete base
mjesto hodoCaSGa	shrine
intenzitet vibracija	vibration severity
prasenje	farrow
pravosudna reforma	judicial reform
tekuGi rezultat	current score
dijete koje je tek prohodalo	toddler
europska konferencija	european conference
zajedniCki korisniCki kanal	common-user channel
samonamjeStanje	servo-action
pramCana statva	stem
restrukturacija	restructuration
kabaretski	knockabout
koje ne iskri	intrinsically safe
pragmatiCan	pragmatic
digitalni razdjelnik	digital distribution frame
opisnik	item
dijalog	dialogue
sputavati	shackle
blagajna za prodaju ulaznica	ticket-office
antikrist	antichrist
holistiCki pristup	holistic view
kratko val n o podruCje	short waves
konjski vrat	withers
sekvencijalan	sequential
komplikacija	intricacy
protuprijenosnik	antiporter
pfenizi	pfennigs
nove analitiCke metode	new analytical methods
protuprovalni alarm	anti-theft alarm
ponovno stvaranje	regenerating
kockasti kristal	cubic crystal
klastiCni i karbonatni litofacijesi	clastic and karbonate lithofacies
ronilica	underwater vehicle
geometrijski elementi	geometrical elements
obrazovni	training
cik-cak	staggered
narativna figura	narrative figure
cirkovi	cirques
pretegnuti	outweigh
lukavac	sly-boots
plastoglobul	plastoglobule
sportski centar	sports centre
programska oprema raCunala	computer software
skupne tabele	related tables
poboljSati	upgrade
stanovnike sjevera	northerner
pokazivaC hitnosti	urgent pointer
poput smole	pitchy
direktni zvuk	direct sound
ravno	upright
dinamiCki vezani	dynamically linked
optiCko vlakno od kvarcnog stakla s plastiCnim omo	plastic clad silica fiber
prevarant	duper
u smjeru kazaljke na satu	clockwise (clock wise)
rodoljuban	patriotic
oglaSene	announcement
logike znanja	logics of knowledge
patogene gljive	pathogen fungi
ministarstvo za obrt, malo i srednje poduzetniStvo	ministry of trades, small, and medium-sized enterp
deratizaciju	rodenticide
uzda	rein
uspravno	vertical
kruto gorivo	solid fuel
otpor na istezanje	tensile
rasan	thoroughbred
vlastiti kapital osiguravatelja	capital and reserves
prenumerando renta	annuity due
deratizacija	deratization
nacionalan	national
zagnojenje	ulceration
promjena zvuka	wow
odbacivanje okvira	frame reject
nigdje	nowhere
zaStita tla	soil protection
prevrnuti brod	capsize
union of police of croatia	sindikat policije hrvatske
snimljiv	retrievable
ne reagira	unresponsive
etniCka distanca	ethnical distance
zakrpati	stich up
klijeSta za sav	bender
zaStitni pokrov paradne zastave	case
bilo da	whether
nesklonost riziku	risk aversion
abdikacija	abdication
dizajner internetskih stranica	web designer
perifiton	periphyton
ured za informacije	inquiry-office
tvrdoglavost	stubbornness
inferiornost	inferiority
neoCekivano	unexpected
suviSnost	redundancy
pizdolizac	clit-licker
materijalan	material
apstrakcija	abstracts
faktorima	factors
drugovati	associate
specificirati pisaC	specify printer
visokofrekventni zvuCnik	tweeter
ubiranje	collection
migracijski pokret	migratory movement
koCnica	trig
darovati	present with
tjemena toCka	vertex
ekran s pomoGnim informacijama	help screen
dunja	quince
fibrinoliza	fibrinolysis
otvorena tehnologija	open technology
srediSnji ured za obrazovanje i kulturu	directorate general for education and culture
obustavljiv	suspensive
iSCistiti	cleanse
nadzor poziva	call control
posebne sociologije	special sociologies
ovisi o mreZi	network-dependent
grubo platno	denim
fintiranje	feinting
kratki nepravilni puls	spike
osnovani razlozi za sumnju	reasonable doubt
francuski prekomorski departmani	french overseas departments
idealno	ideally
naplatiti poreze	to recover taxes
metalni prsten (u kori e kloru)	ferrule
monopolist	monopolist
antenski ureDaj	Grial equipment
ameriCka organizacija	american organization
fermi-diracova raspodjela	fermi dirac distribution
otmjenost	urbanity
Cepljenje	stopping
brodska svjetiljka	ship's lantern
gubitak pri prijenosu	transmission loss
postupak u prijamniku kojim se poniStava isticanje	deemphasis
bruto-dobit	gross profit
bastion	crenelation
fondova	funds
smiSljenost	devices
nezamjetljiv	indistinguishable
slikovan	pictorial
tehniCko podruCje	technical field
prijenosna linija	transmission line
gratis	gratis
druStveni	societal
oznaka mjesta za utikaC	power plug socket identifier
Cip za reproduciranje govora	speech chip
svladani	defeated
antidampinSku	antidumping
sila na iglama	needle force
distonija	dystonia
donijeti	yield
cenoman-turon	cenomanian-turonian
ekselencija	excellency
guditi	scrape
razgraniCiti	to
Grometeorograf	Grometeorograph
slovaCke	slovakia
slovaCka	slovakia
faradyev rotator	faraday rotator
sigurnosni tijek	traffic flow security
automatski otvoriti	auto open
nezaposlenost migranata	migrant unemployment
efektivan	virtual
slovaCki	slovak
spojniCki zakiv	butt joint
tumori	tumors
rekurentan	recurrent
otvor za protok vode	water passage
analogija	parity
osno-simetriCan	axisymmetrical
koji sadrZi aluminijum	aluminoferous
drugorazredno putovanje	by way
sluzba spaSavanja	rescue service
set	set
politiCki suZivot	political cohabitation
korovi	weeds
prema dolje	page down
majCinstvo	motherhood
pridruZeni Clan	associated member
sef	vault
poSiljatelj	talker
dalekometan	long-range
sem	sem
sek	csp
trajanje u godinama	duration in years
sei	cei
tamnosmeDe	puce
papuCa za koCenje	brake-shoe
blitva	swiss chard
progutan	swallowed
slobode Covjeka	freedoms
nehotimiCan	unwitting
pritezanje	tightening
samouvjereni osmijeh	simper
prekobrojan	supernumerary
vitamini	vitamins
ukrasni ornament na poCetku poglavlja	headband
izliti se	gush
lupeSki	hangdog
dvotrupni brod	catamaran
deformacija savijanjem	bending strain
aromatiCna biljka	aromatic plant
tetrakarbonili	tetracarbonyles
metalografija	metallography
ispitivanje usklaDeno sa standardom	conformance testing
suoCiti se s ozbiljnim teSkoGama	to face serious difficulties
Zidak	viscous
heterodoksan	heterodox
mikromehanika	micromechanics
total	total
pregrada tanka	tank bulkhead
meDunarodna konkurencija	international competition
ibis	ibis
mali ubrus	doily
republika mali	republic of mali
poCeSljati	do one's hair
detaljno	minutely
raCunalno inZenjerstvo	computer engineering
geodetske konstante	geodetic constants
detaljnu	detailed
dibosfataza	diphosphatase
antidampinSki	antidumping
tehniCki uvjeti	specification
terminal za komunikaciju podatcima	data terminal
pariSka povelja	paris chart
dizel	gas oil
automatsko prilagoDavanje	auto arrangement
deficitaran	unavailable
zahtjev	solicitation
pelargonium radula rod pelargonium	pelargonium radula pelargonium genus
korida	bullfight
transparencija	transparency
sadrZaj vode u postocima	water ratio
kljucni atributi koji jednoznaCno opisuju entitet	key attributes
prebrojiv beskonaCan skup	countable infinite set
konCanica	reticle
razigran	playful
neodreDen	villages
parlamentarna rasprava	parliamentary debate
fond vezan uz indeks	index fund
usluge koriStenja znanstvenih institucija	usage of scientific institutions services
prijelazne pojave	transients
preobraZen	regenerate
fabulozan	legendary
sudjelujemo	participating
prolaznost	transience
zavisnost	servitude
Stampanje	printing
izraDivaC okvira	framer
varijacija kaSnjenja stanice	cell delay variation
dupleks sustav	duplex system
potencijali spremnosti	preparatory potentials
stanja)	n-ary
automobilist	motorist
talijanska republika	ltalian republic
posuditi od nekoga	borrow
Zupanija vukovarsko-srijemska	county of vukovar-srijem
usklaDenosti	conformity
biljno tekstilno vlakno	vegetable textile fibre
duhan tip burley	burley tobacco
zadnje crijevo	rectum
diplomatska bitka	diplomatic battle
zamijetiti	perceive
elektriCni	electrical
pragmalingvistika	pragmalinguistics
elektromehaniCko njihanje	electromechanical oscillations
australija	down under
najzapadnijem	westernmost
taktiCar	tactician
uCinak fotomijeSanja	photomixing effect
koji oslobaDa	emancipatory
neomiljen	unpopular
europska organizacija za televizijske sustave	european broadcasting union
zamjeriti	throw up
pjeSaCke zone	pedestrian zones
